Run	Precision	Recall	F0.5	Lang	Cand
single_p8_c0_1_s20	0.5993150684931506	0.6628787878787878	0.6110335195530726	en	single
single_p8_c0_0_s20	0.3793103448275862	0.6875	0.4166666666666667	nl	single
single_p8_c0_0_s20	0.5993150684931506	0.6628787878787878	0.6110335195530726	en	single
single_p8_c0_1_s0	0.3793103448275862	0.6875	0.4166666666666667	nl	single
single_p8_c0_1_s0	0.5993150684931506	0.6628787878787878	0.6110335195530726	en	single
multi_p8_c0_1_s20	0.2523364485981308	0.84375	0.2934782608695652	nl	multi
multi_p8_c0_1_s20	0.4406779661016949	0.7878787878787878	0.483271375464684	en	multi
multi_p8_c0_0_s20	0.2523364485981308	0.84375	0.2934782608695652	nl	multi
multi_p8_c0_0_s20	0.4406779661016949	0.7878787878787878	0.483271375464684	en	multi
multi_p8_c0_1_s0	0.2523364485981308	0.84375	0.2934782608695652	nl	multi
multi_p8_c0_1_s0	0.4406779661016949	0.7878787878787878	0.483271375464684	en	multi
single_p6_c0_1_s20	0.3793103448275862	0.6875	0.4166666666666667	nl	single
single_p6_c0_1_s20	0.603448275862069	0.6628787878787878	0.6144662921348314	en	single
single_p6_c0_0_s20	0.3793103448275862	0.6875	0.4166666666666667	nl	single
single_p6_c0_0_s20	0.603448275862069	0.6628787878787878	0.6144662921348314	en	single
single_p6_c0_1_s0	0.3793103448275862	0.6875	0.4166666666666667	nl	single
single_p6_c0_1_s0	0.603448275862069	0.6628787878787878	0.6144662921348314	en	single
